Size	Alpha	Min	TAR
100	0.5	48.4536657	0.0215
95	0.5	47.24017148	0.0394
90	0.5	43.73132909	0.0519
85	0.5	43.07670428	0.0733
80	0.5	36.44102453	0.1038
75	0.5	38.02751603	0.1449
70	0.5	36.78876867	0.22
65	0.5	33.57087902	0.3166
60	0.5	32.80558532	0.449
100	1	49.59936039	0.0125
95	1	48.05721746	0.0215
90	1	46.14841206	0.0465
85	1	39.50718892	0.0698
80	1	40.61139022	0.1145
75	1	37.31648271	0.1199
70	1	38.82430418	0.2021
65	1	33.21037683	0.3059
60	1	33.64683468	0.4079
100	2	50.6983163	0.0143
90	2	47.19649556	0.0304
95	2	44.55441604	0.0322
85	2	41.18605843	0.0519
80	2	41.40629005	0.0805
75	2	39.0095165	0.1109
70	2	36.20609741	0.1825
65	2	33.53793126	0.2826
60	2	32.84402653	0.3971
100	3	48.35675064	0.0107
95	3	47.98285528	0.0215
90	3	44.95516525	0.025
85	3	44.24492727	0.059
80	3	41.12295242	0.0787
75	3	40.52289619	0.1127
70	3	38.49137537	0.1807
65	3	34.09674532	0.2719
60	3	33.18144187	0.3971
100	5	48.53790894	0.0054
90	5	46.69130338	0.0286
95	5	48.83042122	0.0286
85	5	44.87878971	0.0519
80	5	45.62210495	0.0698
75	5	38.90868018	0.0948
70	5	38.86580743	0.1646
65	5	35.46981493	0.2487
60	5	33.17956807	0.2987
100	8	49.10509276	0.0089
90	8	45.43361969	0.0143
95	8	51.46313757	0.0197
80	8	46.78406408	0.0447
85	8	47.26531262	0.0447
75	8	41.48544298	0.1038
70	8	40.0554213	0.1431
65	8	39.35229934	0.195
60	8	35.29033199	0.3542
100	10	50.99041929	0.0125
95	10	50.65490982	0.0179
90	10	52.32520401	0.0233
85	10	43.04996579	0.0286
80	10	44.66857665	0.0322
75	10	43.58296386	0.093
70	10	38.69798955	0.1091
65	10	37.86966628	0.1968
60	10	35.22738872	0.288
95	12	52.04463457	0.0072
100	12	52.36698806	0.0072
90	12	50.15590032	0.0161
85	12	46.44986176	0.0233
80	12	45.20998042	0.0572
75	12	42.64260447	0.0823
70	12	41.99747917	0.1109
65	12	39.60598822	0.1932
60	12	36.79174663	0.2558
100	15	52.30669929	0.0072
90	15	48.83428818	0.0125
95	15	49.58252842	0.0143
85	15	49.28533619	0.0304
80	15	45.43524157	0.0358
75	15	44.74993782	0.0555
70	15	38.09379244	0.1109
65	15	37.79242919	0.1181
60	15	35.59735373	0.2487
100	20	51.3943644	0.0018
95	20	50.75849202	0.0089
90	20	51.97079209	0.0125
85	20	49.61862756	0.0197
80	20	45.84575707	0.0429
75	20	43.52114602	0.0555
70	20	40.86240059	0.0948
65	20	39.32891796	0.1574
60	20	38.14126526	0.1735
100	15	59.74368746	0.0036
95	20	58.17004128	0.0036
100	12	58.09568647	0.0036
100	20	57.92961761	0.0072
100	8	57.54884912	0.0054
100	10	56.88008313	0.0072
100	5	56.85414386	0.0072
90	15	55.72285404	0.0143
95	15	55.65836523	0.0018
95	8	55.6356299	0.0072
90	12	55.06711465	0.0143
95	12	54.72984702	0.0125
90	20	54.34813047	0
95	10	53.84070243	0.0072
95	5	53.69260632	0.0107
100	2	52.8975881	0.0179
85	12	52.54909447	0.0215
90	10	52.41642256	0.0215
85	15	51.80200017	0.0125
90	8	51.38286382	0.0143
95	1	50.48309065	0.0286
85	20	50.42656286	0.0072
80	12	50.32136838	0.0161
85	10	49.91417898	0.0233
80	15	49.89787813	0.0304
80	20	49.81484682	0.0179
90	2	49.37036249	0.0286
100	3	49.19807547	0.0089
95	2	49.11844465	0.0161
85	8	49.06837582	0.0143
80	8	49.05121791	0.0358
90	3	49.01601174	0.0304
95	3	48.93303125	0.0125
100	0.5	48.86130062	0.0286
90	5	48.68421722	0.0161
75	20	48.04451146	0.0358
80	10	47.93803096	0.0376
85	3	47.83859796	0.0286
75	15	47.76064054	0.025
85	5	47.11417165	0.0304
80	5	47.07262776	0.0429
85	2	46.54113752	0.0394
75	12	46.37696916	0.0465
70	12	46.24731623	0.0555
75	8	46.02334925	0.0429
95	0	46.02303908	0.0376
75	10	45.69492686	0.0483
85	1	45.67995526	0.0447
95	0.5	45.47822863	0.025
90	0.5	45.21542095	0.0447
70	15	44.82281449	0.0358
90	1	44.68179347	0.0215
70	20	44.67339914	0.0394
100	1	44.33759328	0.0233
80	3	44.29840759	0.0429
85	0	43.89024594	0.093
70	8	43.23460318	0.1091
75	2	42.62477717	0.0859
80	2	42.61721852	0.0698
100	0	42.40337137	0.0215
90	0	42.28354382	0.0519
65	10	42.10628352	0.1145
75	1	41.96121873	0.1181
85	0.5	41.79136542	0.0626
65	20	41.67913453	0.068
65	15	41.51807451	0.1038
70	3	41.40909851	0.1342
80	0.5	41.3354023	0.0823
65	12	40.92803098	0.0984
65	8	40.82227511	0.1091
70	2	40.67035857	0.1538
