Size	Alpha	Min	TAR
100	0.5	51.95567669	0.0113
60	0.5	37.74953915	0.1624
65	0.5	41.05070244	0.109
70	0.5	42.09407591	0.0747
75	0.5	43.76439113	0.0547
80	0.5	45.35172746	0.0317
85	0.5	48.38641675	0.0225
90	0.5	49.43288896	0.0188
95	0.5	50.51502661	0.0113
100	1	53.10408697	0.0063
60	1	36.75149052	0.1837
65	1	38.74198945	0.1048
70	1	42.57027422	0.0777
75	1	44.38602489	0.0597
80	1	45.63575376	0.0284
85	1	48.59835349	0.0217
90	1	48.45415536	0.0184
95	1	50.65849359	0.01
100	2	50.32030782	0.0071
60	2	36.51826044	0.1729
65	2	38.67252476	0.1198
70	2	40.82834324	0.0814
75	2	44.61231336	0.053
80	2	45.87560084	0.0376
85	2	47.20490032	0.0259
90	2	49.16733456	0.015
95	2	50.68792267	0.0171
100	3	51.69323677	0.0079
60	3	37.1552642	0.1787
65	3	38.08507818	0.1157
70	3	40.30853375	0.0827
75	3	43.52133227	0.0447
80	3	45.44168954	0.0351
85	3	47.38329339	0.0255
90	3	49.59475362	0.015
95	3	50.33911455	0.0088
100	5	52.52154988	0.0084
60	5	36.93722274	0.1908
65	5	38.7731721	0.1223
70	5	41.25039064	0.0764
75	5	41.62306842	0.0539
80	5	44.97869326	0.0413
85	5	47.50598166	0.0251
90	5	49.3929903	0.0171
95	5	48.50685455	0.0092
100	8	48.6337197	0.0075
60	8	37.71860714	0.1737
65	8	39.82708082	0.1236
70	8	41.32407493	0.0731
75	8	42.65039066	0.0639
80	8	45.29409713	0.0376
85	8	47.18950689	0.0292
90	8	47.13433781	0.0167
95	8	49.18314658	0.0146
100	10	50.91376972	0.0088
60	10	37.72754842	0.1733
65	10	39.13385944	0.1248
70	10	41.07813787	0.0848
75	10	42.86013435	0.0518
80	10	43.29139066	0.0405
85	10	45.01885521	0.0251
90	10	46.88489187	0.0154
95	10	48.78126656	0.0104
100	12	50.0905117	0.01
60	12	36.24831688	0.1929
65	12	38.37470595	0.1265
70	12	40.46776518	0.0881
75	12	42.11453408	0.0597
80	12	43.71860403	0.0392
85	12	45.14472294	0.0259
90	12	47.43786584	0.0146
95	12	49.45131856	0.0138
100	15	51.1935447	0.0088
60	15	36.78284325	0.1954
65	15	36.99092738	0.1253
70	15	40.471788	0.0714
75	15	41.11924592	0.0522
80	15	41.92431113	0.0347
85	15	46.31350177	0.0238
90	15	47.89328986	0.0159
95	15	46.67377687	0.0113
100	20	47.29510873	0.0071
60	20	35.00336195	0.1833
65	20	37.60170567	0.1374
70	20	39.61830114	0.0831
75	20	40.03273201	0.0526
80	20	42.52307733	0.0351
85	20	45.51602142	0.0288
90	20	44.70777847	0.0171
95	20	45.61096581	0.0125
60	0.5	37.515	0.1967
65	0.5	39.723	0.1102
70	0.5	41.748	0.0789
75	0.5	43.812	0.0497
80	0.5	44.415	0.0313
85	0.5	48.269	0.0271
90	0.5	46.031	0.018
95	0.5	50.513	0.0121
100	0.5	52.886	0.0075
60	1	37.815	0.18
65	1	39.723	0.1127
70	1	41.71	0.0727
75	1	44.1	0.0522
80	1	44.976	0.0317
85	1	45.609	0.0205
90	1	50.476	0.0159
95	1	49.922	0.0154
100	1	53.351	0.0092
60	2	37.289	0.1637
65	2	38.719	0.1056
70	2	42.352	0.076
75	2	44.747	0.0526
80	2	45.849	0.0305
85	2	45.935	0.0225
90	2	50.7	0.0134
95	2	50.773	0.0104
100	2	52.18	0.0063
60	3	37.59	0.1666
65	3	37.966	0.1198
70	3	42.015	0.076
75	3	42.911	0.053
80	3	45.109	0.0309
85	3	48.508	0.0167
90	3	48.872	0.0205
95	3	51.24	0.0075
100	3	52.729	0.0079
60	5	37.186	0.1699
65	5	38.959	0.1106
70	5	40.949	0.0722
75	5	42.761	0.0451
80	5	44.151	0.0326
85	5	47.115	0.0238
90	5	48.373	0.0142
95	5	52.077	0.0092
100	5	53.811	0.0096
60	8	38.302	0.1645
65	8	39.961	0.1069
70	8	41.656	0.0747
75	8	44.305	0.0468
80	8	45.343	0.0338
85	8	48.013	0.0221
90	8	52.034	0.0121
95	8	50.378	0.0121
100	8	53.402	0.0054
60	10	36.701	0.1486
65	10	37.872	0.1077
70	10	41.502	0.0764
75	10	41.961	0.0484
80	10	45.283	0.0313
85	10	45.844	0.0221
90	10	48.219	0.0142
95	10	49.412	0.0109
100	10	51.551	0.0084
60	12	35.207	0.172
65	12	38.719	0.1132
70	12	41.284	0.0714
75	12	42.645	0.0484
80	12	43.816	0.0322
85	12	45.879	0.0238
90	12	46.103	0.0154
95	12	48.947	0.0109
100	12	47.981	0.0088
60	15	35.206	0.1537
65	15	37.811	0.1111
70	15	40.614	0.0656
75	15	42.255	0.0455
80	15	44.193	0.0305
85	15	45.401	0.0184
90	15	46.387	0.0142
95	15	46.99	0.0125
100	15	49.628	0.005
60	20	36.284	0.1507
65	20	39.46	0.0998
70	20	40.074	0.0685
75	20	39.116	0.043
80	20	41.22	0.0351
85	20	45.068	0.0246
90	20	47.131	0.0159
95	20	50.001	0.0138
100	20	50.076	0.0067
100	0.5	52.79649648	0.0063
90	0.5	50.68059967	0.0134
95	0.5	51.5646717	0.0138
85	0.5	48.52579599	0.0255
80	0.5	45.26828286	0.0342
75	0.5	44.17035339	0.0551
70	0.5	42.85408107	0.0835
65	0.5	39.86161759	0.1207
60	0.5	38.08103908	0.1754
100	1	51.14390145	0.0071
95	1	51.58007186	0.0079
90	1	49.3703092	0.0134
85	1	47.22657701	0.023
80	1	45.70115952	0.043
75	1	42.46611595	0.0501
70	1	42.79404109	0.0856
65	1	40.1798807	0.1111
60	1	37.7708049	0.1653
100	2	52.21284256	0.0071
95	2	51.03576846	0.0088
90	2	50.71884032	0.0163
85	2	47.5300233	0.0296
80	2	46.51624175	0.0317
75	2	44.52261331	0.048
70	2	42.48371273	0.0731
