Size	Alpha	Min	TAR
100	0	51.15436749	0.0096
95	0	50.1865217	0.0096
90	0	49.46144329	0.0163
85	0	47.05232758	0.0192
80	0	45.00880362	0.0359
75	0	44.16738237	0.0522
70	0	42.29776521	0.0793
65	0	40.46533655	0.1132
60	0	38.15039836	0.1624
60	0	37.583	0.1812
65	0	38.002	0.1136
70	0	42.317	0.0827
75	0	45.071	0.0509
80	0	43.468	0.0301
85	0	48.883	0.0213
90	0	48.608	0.0146
95	0	52.592	0.0125
100	0	52.423	0.005
100	0	53.98785922	0.0067
60	0	36.4276101	0.1775
65	0	39.95563282	0.1123
70	0	41.62455972	0.0823
75	0	44.43051513	0.0543
80	0	46.43727954	0.033
85	0	48.64606765	0.0271
90	0	49.92985701	0.0175
95	0	50.08980392	0.0092
