Subset Size	Alpha	Entropy	TAR	Old Calc
60	0	42.9	0.42	1
60	0.5	41.2	0.43	1
60	0.9	42.3	0.45	1
60	2	0.0	0.47	1
60	3	0.0	0.50	1
60	4	0.0	0.52	1
60	5	40.3	0.56	1
60	6	0.0	0.59	1
60	8	0.0	0.65	1
60	10	39.3	0.71	1
60	15	37.1	0.83	1
60	20	35.2	0.90	1
60	30	29.5	0.93	1
65	0	48.1	0.304	1
65	0.5	0.0	0.312	1
65	1	0.0	0.325	1
65	5	47.1	0.434	1
65	10	43.3	0.584	1
65	15	41.0	0.723	1
65	20	38.7	0.816	1
65	25	35.7	0.863	1
65	30	32.6	0.878	1
65	35	28.1	0.868	1
65	40	28.8	0.845	1
70	0	51.9	0.215	1
70	0.5	0.0	0.219	1
70	1	0.0	0.230	1
70	5	49.8	0.320	1
70	10	48.5	0.466	1
70	15	45.1	0.609	1
70	20	43.4	0.721	1
70	25	36.8	0.781	1
70	30	34.1	0.798	1
70	35	35.0	0.795	1
70	40	31.0	0.772	1
75	0	53.4	0.150	1
75	0.5	0	0.150	1
75	1	0	0.160	1
75	5	52.3	0.234	1
75	10	46.6	0.363	1
75	15	44.8	0.501	1
75	20	44.8	0.615	1
75	25	40.7	0.687	1
75	30	34.7	0.7128	1
75	35	35.0	0.7126	1
75	40	30.5	0.682	1
80	0	57.2	0.097	1
80	0.5	0	0.100	1
80	1	0	0.107	1
80	5	54.5	0.163	1
80	10	53.2	0.269	1
80	15	49.5	0.397	1
80	20	47.9	0.505	1
80	25	42.7	0.583	1
80	30	38.9	0.621	1
80	35	37.3	0.617	1
80	40	34.6	0.591	1
85	0	59.5	0.066	1
85	0.5	0.0	0.069	1
85	1	0.0	0.071	1
85	5	57.9	0.116	1
85	10	52.7	0.198	1
85	15	52.7	0.307	1
85	20	45.6	0.412	1
85	25	42.3	0.485	1
85	30	39.7	0.520	1
85	35	38.6	0.523	1
85	40	34.7	0.498	1
90	0	62.1	0.044	1
90	0.5	0	0.045	1
90	1	0.0	0.048	1
90	5	60.0	0.078	1
90	10	57.4	0.146	1
90	15	54.2	0.231	1
90	20	45.1	0.326	1
90	25	46.4	0.395	1
90	30	44.4	0.428	1
90	35	38.7	0.434	1
90	40	38.3	0.413	1
95	0	64.4	0.029	1
95	0.5	0.0	0.028	1
95	1	0.0	0.032	1
95	5	62.5	0.055	1
95	10	61.2	0.100	1
95	15	55.0	0.172	1
95	20	50.3	0.254	1
95	25	49.8	0.316	1
95	30	45.7	0.353	1
95	35	42.0	0.355	1
95	40	41.5	0.335	1
