Size	Alpha	Min	TAR
60	0	32.35317643	0.4669
65	0	35.91953386	0.3381
70	0	36.8819029	0.2308
75	0	32.2541271	0.127
80	0	36.88165409	0.1163
85	0	39.70852689	0.0948
90	0	38.45967721	0.0519
95	0	43.93512307	0.0358
100	0	46.87933239	0.034
95	0	46.02303908	0.0376
85	0	43.89024594	0.093
100	0	42.40337137	0.0215
90	0	42.28354382	0.0519
80	0	40.12044149	0.093
75	0	39.94522427	0.1234
70	0	38.8723234	0.2129
60	0	32.19132963	0.4454
65	0	31.35995444	0.3506
60	0	32.81664617	0.4776
65	0	34.75980888	0.3488
70	0	38.4622934	0.2254
75	0	37.08514177	0.1664
80	0	43.99784575	0.1091
85	0	44.05009772	0.0751
90	0	44.61715608	0.0537
95	0	49.24637306	0.0447
100	0	48.8185858	0.0215
